,企業名,キャッチコピー,ステータス,給与
555,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛媛募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
556,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】大阪募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
557,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】石川募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
558,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】福岡募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
559,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】静岡募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
560,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛知募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
561,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】京都募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
562,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】奈良募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…"
563,"東京海上日動あんしん生命保険株式会社 | 新名古屋支社　★完全週休2日制★年収1,000万円も可能！",【ライフパートナー(コンサル保険営業)】★未経験者も積極採用中 正社員,正社員,■入社4ヶ月：固定給制月給30万円〜60万円※前給考慮 ■入社5ヶ月〜24ヶ月：研修期間手当＋業績給 ※研…
564,日研トータルソーシング株式会社 | 【売上931億円】＊年休最大160日・5/9転職フェア＠宮崎出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊宮崎募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
565,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/30転職フェア＠水戸出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊茨城募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
566,日研トータルソーシング株式会社 | 【売上931億円】＊年休最大160日・5/8転職フェア＠名古屋出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊愛知募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
567,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/22転職フェア＠札幌出展,AI・自動化で注目の【ロボットのサポートエンジニア】北海道募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
568,日研トータルソーシング株式会社 | 【売上931億円】＊年休最大160日・5/8転職フェア＠仙台出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊宮城募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
569,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/15転職フェア＠岡山出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊岡山募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
570,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/22転職フェア＠池袋出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊東京募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
571,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊5/29転職フェア＠浜松出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊静岡募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
572,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/29転職フェア＠京都出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊京都募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
573,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・5/16転職フェア＠藤沢出展,AI・自動化で注目の【ロボットのサポートエンジニア】神奈川募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
574,株式会社バーンフュージョン | ※電話問合わせも可⇒0800-800-4089,電子機器センサー部品の【製造オペレーター】年間休日125日♪ 契約社員,契約社員,"時給1,200円~ ※試用期間2ヶ月あり(待遇に変動なし) ※経験・能力に応じて当社規定により優遇します 【…"
575,株式会社バーンフュージョン | 【入社祝い15万円支給有】※電話問合わせも可⇒0800-800-4089,正社員登用制度有！半導体ウェーハの【品質管理】年間休日180日 契約社員,契約社員,"時給1,450円~ ※試用期間2ヶ月あり(待遇に変動なし) ※経験・能力に応じて当社規定により優遇します 【…"
576,株式会社バーンフュージョン | 【入社祝い15万円支給有】※電話問合わせも可⇒0800-800-4089,未経験OK！半導体製造の【マシンオペレーター】年間休日125日♪ 一般派遣,一般派遣,"時給1,000円~ ※試用期間2ヶ月あり(待遇に変動なし) ※経験・能力に応じて当社規定により優遇します 【…"
577,株式会社パーフェクション | 【営業なし！残業なし！ノルマなし！】制度&福利厚生も充実！,＜未経験者活躍中＞契約済のお客様先を訪問する【調査スタッフ】 正社員,正社員,"月給206,000円〜400,000円＋歩合給＋出張手当1500円／日 ※試用期間2ヶ月(月給256,000円) ※経験・スキ…"
578,株式会社ア・ビュー | 〈 対象者全員面接 〉少しでも興味あれば応募してください♪,★新卒・第二新卒の歓迎募集★【介護スタッフ】★東海限定募集 正社員,正社員,月給21万4100円以上 ※あなたの経験や能力に応じて、決定します。 ※試用期間3ヶ月（待遇に変更なし）
579,株式会社パーフェクション | 稼げる人事制度＆誰でもスキルアップ可能なマニュアル完全完備！,【営業】キャリアアップ希望＆高収入希望集まれ！！！ 正社員,正社員,"月給206,000円〜400,000円＋歩合給 ※試用期間2ヶ月(月給256,000円) ※経験・スキルを考慮して優遇しま…"
580,株式会社クラシコ | ★面接1回 ★恵比寿駅徒歩2分 ★平均年齢28歳！,未経験でも高収入で稼げる！【不動産営業】★土日休み 正社員,正社員,月給25万円以上+歩合+各種手当 ※経験者は応相談。 ※入社3〜4ヵ月での昇給も可能です！ ※試用期間中（…
581,ECテクノス株式会社 | 【マイナビから採用実績あり】残業月平均20h・設立以来黒字経営,未経験歓迎！【電気施工管理】<賞与4.5ヶ月分／転勤無>★面接1回 正社員,正社員,月給20万円〜25万円(一律手当を含む) ※試用期間3ヶ月あり（同条件） ※上記には40h分の固定残業手当（4…
582,株式会社アジア技術コンサルタンツ | ほとんどが公共事業で安定感抜群！資格手当・管理職手当が充実！,中途のハンデなし／キャリアUP可能【測量設計】★資格取得応援！ 正社員,正社員,月給25万円〜57万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※月給には一律手当を含みま…
583,株式会社阪栄 | ＜高収入＆高待遇＞ぜひあなたの経験スタイルを活かして下さい！,毎年売上増！食品工場の【工場長候補】★月給35万円～ 正社員,正社員,月給：35万円以上 ※上記は最低保証給です。経験スキルに応じて相談の上で決定致します。 ※残業が発生…
584,株式会社大濠地所 | 年間休132日／賞与～150万円*／*　*昨年実績,【 不動産営業 】◆福岡市内がメインエリア／転勤なし／土日祝休 正社員,正社員,"月給220,000円〜250,000円 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…"
585,株式会社スカイフィールドコーポレーション | ■転勤なし ■土日祝休み ■自社ブランドを展開する成長企業,案件数・受注額に応じ歩合支給◆元請けの【建築施工管理】 正社員,正社員,年俸制550万円〜900万円 ＋ 歩合給 ※経験、スキルなどを考慮した上、決定します。 ※試用期間3ヶ月（期…
